program_id,name,description,link
0,QB50,"Международная группировка спутников CubeSats для многоточечных 
                  измерений в нижних слоях термосферы и исследований при возвращении в атмосферу.",
1,Space-Pi,"Российский научно-образовательный проект, в котором участвуют школьники, студенты, университеты и отечественные компании.
   Целью являтеся сформировать в течение нескольких лет флотилию из 100 малых космических аппаратов формата CubeSat
   для массового вовлечения молодёжи школьного возраста в космические технологии",https://spacepi.space/
