rocket_family_id,name
0,Angara
1,Antares
2,Ariane
3,Astra Rocket
4,Atlas V
5,Chang Zheng
6,Delta
7,Dnepr
8,Electron
9,Epsilon
10,Falcon 1
11,Falcon 9
12,Falcon Heavy
13,Firefly Alpha
14,H-II
15,H3
16,Jielong
17,Kairos
18,Kosmos 11K65M
19,Kuaizhou
20,LauncherOne
21,Lijian
22,M-V
23,Minotaur
24,Nuri
25,OS-M1
26,PSLV
27,Qased
28,Rokot
29,RS1
30,SLS
31,SS-520
32,SSLV
33,Shuang Quxian 1
34,Simorgh
35,Soyuz
36,Spectrum
37,Super Strypi
38,Taurus
39,Tianlong
40,Vega
41,Zhuque
