id,norad_id,eccentricity,inclination,mean_anomaly,perigee_arg,asend_node_long,mean_motion,mean_motion_1der,mean_motion_2der,rad_pressure_coef,event_at,period,semi_major_axis,altitude,perigee_altitude,apogee_altitude
0,44812,0.0012668,97.5307,142.488,217.5476,28.3533,15.19402146,-1.4e-06,0.0,0.0,1574836176.000023,94.7741191356722,6885.780755251201,514.7807552512013,506.05784819044857,523.503662311954
1,44812,0.0014277,97.5311,219.1253,221.2206,28.37,15.1984671,-1.42e-06,0.0,0.0,1574837446.0000143,94.7463971547499,6884.437935842746,513.4379358427459,503.6090238017432,523.2668478837486
2,44812,0.0009845,97.5212,124.5733,235.3595,28.7796,15.19485021,-1.4e-06,0.0,0.0,1574876003.000012,94.7689500125714,6885.530379077798,514.530379077798,507.7515744195953,521.3091837359998
3,44812,0.0011516,97.5221,118.47,241.401,28.8489,15.19432006,-1.4e-06,0.0,0.0,1574881694.0000832,94.77225662705962,6885.690541677537,514.6905416775371,506.7609804497406,522.6201029053336
4,44812,0.0011463,97.5241,129.5846,230.4456,28.9135,15.1943274,4.102e-05,0.0,0.0001,1574887386.9999826,94.77221084494994,6885.688324140632,514.6883241406322,506.7952596146697,522.5813886665946
5,44812,0.0011349,97.5235,134.9039,225.1273,29.9615,15.19435999,-8.2e-07,0.0,1.3418e-06,1574978426.0000064,94.7720075704222,6885.678478177487,514.6784781774868,506.8639216726024,522.4930346823712
6,44812,0.0011349,97.5235,134.9039,225.1273,29.9615,15.19435999,-8.2e-07,0.0,1.3418e-06,1574978426.0000064,94.7720075704222,6885.678478177487,514.6784781774868,506.8639216726024,522.4930346823712
7,44812,0.0011377,97.5232,137.4767,222.5586,30.6837,15.19435627,-8.2e-07,0.0,1.3418e-06,1575041015.0000095,94.7720307732392,6885.679602047537,514.6796020475367,506.8457643642869,522.5134397307856
8,44812,0.0011611,97.524,140.3316,219.707,31.8,15.19439279,8.78e-06,0.0,2.3997e-05,1575137743.9999893,94.77180298693597,6885.668568805504,514.668568805504,506.6736190302636,522.6635185807445
9,44812,0.0011701,97.5239,144.5436,215.502,32.9154,15.19440464,9.06e-06,0.0,2.4666e-05,1575234473.0000093,94.77172907513145,6885.664988751525,514.664988751525,506.6080721481876,522.7219053548624
10,44812,0.0011724,97.5238,145.5501,214.4974,33.1778,15.19440724,8.96e-06,0.0,2.4392e-05,1575257231.9999993,94.77171285821083,6885.664203255073,514.6642032550726,506.5914505431765,522.7369559669687
11,44812,0.0011786,97.5238,147.9801,212.0717,33.8339,15.19441349,8.76e-06,0.0,2.3944e-05,1575314132.000041,94.77167387525137,6885.6623150433625,514.6623150433625,506.54687343885234,522.7777566478726
12,44812,0.0011837,97.5236,151.7306,208.3286,34.818,15.19443231,8.44e-06,0.0,2.3181e-05,1575399481.0000286,94.77155648995748,6885.656629268079,514.6566292680791,506.50607751601456,522.8071810201427
13,44812,0.0011924,97.5237,153.73,206.3329,35.4085,15.19443912,1.078e-05,0.0,2.8676e-05,1575450689.999999,94.77151401426656,6885.65457187832,514.65457187832,506.444117366812,522.865026389828
